review_id,review_rating,review_text,review_date,reviewer_id,product_id
REV20077,5,average,2023-04-15,CUST1892,PROD103
REV20078,2,very good,2023-08-11,CUST5088,PROD103
REV20079,4,good,2024-07-14,CUST3422,PROD108
REV20080,5,very good,2023-11-19,CUST2079,PROD111
REV20081,4,average,2024-07-24,CUST1624,PROD109
REV20082,3,bad,2023-06-13,CUST4048,PROD108
REV20083,1,good,2023-01-18,CUST2089,PROD104
REV20084,1,very bad,2025-03-27,CUST4354,PROD103
REV20085,1,good,2025-08-01,CUST5300,PROD101
REV20086,3,good,2024-09-15,CUST3660,PROD109
REV20087,2,average,2024-09-19,CUST5297,PROD101
REV20088,3,good,2025-05-02,CUST4458,PROD104
REV20089,5,bad,2023-07-02,CUST2896,PROD113
REV20090,5,very good,2025-06-13,CUST3739,PROD102
REV20091,5,very good,2023-06-10,CUST1832,PROD102
REV20092,2,good,2023-01-09,CUST1647,PROD114
REV20093,2,very good,2025-03-11,CUST1807,PROD113
REV20094,2,bad,2025-06-30,CUST4296,PROD104
REV20095,5,average,2025-01-02,CUST1254,PROD105
REV20096,4,average,2023-05-12,CUST1033,PROD114
REV20097,4,bad,2023-11-30,CUST1698,PROD103
REV20098,5,very good,2024-02-09,CUST2386,PROD101
REV20099,3,bad,2025-02-17,CUST3511,PROD110
REV20100,4,bad,2023-02-24,CUST4247,PROD107
REV20101,5,bad,2022-12-17,CUST1711,PROD107
REV20102,1,average,2024-08-08,CUST4202,PROD112
REV20103,1,average,2022-12-20,CUST2644,PROD111
REV20104,2,very bad,2023-08-20,CUST4536,PROD104
REV20105,2,bad,2024-03-19,CUST4165,PROD108
REV20106,5,bad,2022-10-22,CUST1925,PROD114
REV20107,5,bad,2023-09-06,CUST4417,PROD103
REV20108,4,very bad,2023-06-27,CUST2226,PROD114
REV20109,1,good,2023-04-23,CUST3865,PROD110
REV20110,2,very good,2022-10-01,CUST4945,PROD101
REV20111,1,very good,2025-08-10,CUST2427,PROD103
REV20112,5,bad,2023-03-30,CUST4196,PROD102
REV20113,2,good,2024-02-27,CUST3804,PROD103
REV20114,2,very good,2023-12-23,CUST4589,PROD108
REV20115,2,good,2024-08-11,CUST4582,PROD114
REV20116,1,bad,2024-08-23,CUST5308,PROD110
REV20117,1,good,2023-03-23,CUST5920,PROD112
REV20118,5,average,2025-05-16,CUST5795,PROD101
REV20119,3,very bad,2024-01-02,CUST1585,PROD113
REV20120,1,very bad,2022-11-07,CUST4058,PROD103
REV20121,5,bad,2024-06-03,CUST1287,PROD110
REV20122,1,very good,2024-12-04,CUST3404,PROD104
REV20123,3,very good,2024-02-02,CUST4226,PROD101
REV20124,2,average,2024-07-15,CUST5542,PROD110
REV20125,5,good,2024-08-02,CUST4004,PROD105
REV20126,2,very bad,2023-12-16,CUST1197,PROD102
REV20127,5,very good,2025-03-19,CUST4677,PROD100
REV20128,4,bad,2023-07-29,CUST4076,PROD100
REV20129,5,good,2025-05-12,CUST4734,PROD100
REV20130,1,very bad,2024-05-03,CUST2380,PROD101
REV20131,4,very good,2024-02-09,CUST2688,PROD105
REV20132,5,good,2024-07-20,CUST4943,PROD103
REV20133,4,very good,2025-01-27,CUST1648,PROD102
REV20134,4,very good,2024-07-20,CUST1340,PROD107
REV20135,5,good,2023-10-13,CUST4603,PROD112
REV20136,5,average,2025-03-12,CUST4267,PROD112
REV20137,1,bad,2023-11-27,CUST1974,PROD108
REV20138,4,very good,2024-05-17,CUST5305,PROD100
REV20139,5,average,2024-12-14,CUST4964,PROD111
REV20140,3,bad,2024-06-07,CUST4916,PROD108
REV20141,2,very good,2023-07-10,CUST2328,PROD102
REV20142,4,bad,2024-03-23,CUST1192,PROD108
REV20143,4,average,2023-10-13,CUST5839,PROD109
REV20144,3,very bad,2023-04-21,CUST4245,PROD102
REV20145,2,good,2022-11-30,CUST4244,PROD105
REV20146,2,average,2024-05-08,CUST4733,PROD103
REV20147,2,average,2025-08-21,CUST2820,PROD112
REV20148,5,good,2024-03-16,CUST5014,PROD101
REV20149,1,good,2024-03-16,CUST1716,PROD111
REV20150,1,good,2024-02-03,CUST1987,PROD106
REV20151,5,very good,2024-01-05,CUST4033,PROD111
REV20152,4,very bad,2023-11-26,CUST1292,PROD110
REV20153,4,bad,2023-10-10,CUST1200,PROD109
REV20154,1,good,2022-12-17,CUST5230,PROD102
REV20155,3,very good,2022-11-18,CUST5498,PROD101
REV20156,4,average,2023-04-11,CUST3570,PROD112
REV20157,2,very good,2024-07-01,CUST3430,PROD114
REV20158,4,very good,2024-05-06,CUST1422,PROD107
REV20159,2,good,2023-07-30,CUST3247,PROD112
REV20160,4,good,2024-05-10,CUST1148,PROD109
REV20161,3,very good,2024-07-23,CUST4993,PROD102
REV20162,4,very bad,2023-09-06,CUST5481,PROD112
REV20163,1,good,2023-01-20,CUST3163,PROD106
REV20164,3,good,2023-03-17,CUST2223,PROD109
REV20165,3,bad,2025-05-28,CUST3450,PROD106
REV20166,5,very bad,2025-04-07,CUST5229,PROD101
REV20167,3,very good,2024-12-25,CUST4120,PROD107
REV20168,2,very good,2023-02-19,CUST3343,PROD110
REV20169,3,average,2023-12-11,CUST5255,PROD108
REV20170,5,very good,2023-09-06,CUST1552,PROD112
REV20171,3,good,2024-11-17,CUST5599,PROD105
REV20172,3,good,2024-01-19,CUST3400,PROD101
REV20173,2,very bad,2023-04-07,CUST4387,PROD106
REV20174,4,very bad,2022-12-03,CUST1562,PROD108
REV20175,4,very good,2024-10-12,CUST5652,PROD110
REV20176,1,bad,2023-07-12,CUST5448,PROD111
REV20177,3,very good,2023-03-21,CUST5125,PROD104
REV20178,5,very good,2024-03-24,CUST4573,PROD108
REV20179,2,very good,2024-03-26,CUST2946,PROD103
REV20180,3,very bad,2024-03-05,CUST2644,PROD113
REV20181,4,very good,2023-10-11,CUST3372,PROD102
REV20182,1,very good,2023-03-05,CUST5534,PROD109
REV20183,4,very good,2024-11-07,CUST5286,PROD108
REV20184,4,average,2025-03-01,CUST4941,PROD104
REV20185,4,good,2024-05-19,CUST5175,PROD106
REV20186,4,very bad,2023-05-05,CUST2193,PROD102
REV20187,4,bad,2022-10-28,CUST2784,PROD112
REV20188,4,bad,2024-06-12,CUST3466,PROD101
REV20189,4,very good,2022-12-08,CUST4591,PROD109
REV20190,4,very bad,2023-12-13,CUST3835,PROD113
REV20191,5,good,2022-12-12,CUST2840,PROD105
REV20192,2,average,2023-03-01,CUST4438,PROD102
REV20193,5,very good,2025-08-13,CUST4442,PROD100
REV20194,5,bad,2023-11-24,CUST2982,PROD111
REV20195,5,bad,2024-10-27,CUST1710,PROD105
REV20196,4,average,2024-06-18,CUST4662,PROD112
REV20197,2,bad,2023-04-13,CUST5602,PROD113
REV20198,2,average,2024-12-18,CUST5363,PROD104
REV20199,2,average,2023-08-28,CUST5530,PROD103
REV20200,2,bad,2023-09-20,CUST5616,PROD107
REV20201,1,bad,2023-09-24,CUST4600,PROD106
REV20202,2,very bad,2024-07-06,CUST3934,PROD107
REV20203,2,good,2023-08-21,CUST4591,PROD100
REV20204,2,good,2023-12-09,CUST3190,PROD108
REV20205,2,very good,2024-10-29,CUST3490,PROD111
REV20206,5,very good,2023-07-02,CUST1558,PROD102
REV20207,4,bad,2022-11-16,CUST5416,PROD101
REV20208,1,very good,2022-11-26,CUST2812,PROD111
REV20209,1,very good,2023-06-30,CUST3492,PROD114
REV20210,4,very good,2023-01-17,CUST2367,PROD109
REV20211,4,good,2023-04-22,CUST2702,PROD100
REV20212,5,bad,2024-01-11,CUST5639,PROD109
REV20213,1,very bad,2024-02-07,CUST4161,PROD109
REV20214,4,bad,2024-12-20,CUST5048,PROD112
REV20215,1,bad,2023-10-02,CUST1907,PROD103
REV20216,3,very bad,2023-11-16,CUST3149,PROD103
REV20217,4,average,2023-02-26,CUST4951,PROD113
REV20218,4,bad,2022-10-13,CUST3317,PROD108
REV20219,3,average,2023-12-05,CUST1776,PROD109
REV20220,5,average,2024-09-11,CUST2634,PROD104
REV20221,2,bad,2025-08-11,CUST2081,PROD111
REV20222,5,good,2025-04-19,CUST1379,PROD104
REV20223,3,average,2024-03-04,CUST5727,PROD109
REV20224,1,good,2024-12-01,CUST1654,PROD113
REV20225,2,bad,2024-04-17,CUST5054,PROD106
REV20226,5,very good,2023-09-07,CUST2263,PROD110
REV20227,3,very bad,2023-05-08,CUST5922,PROD106
REV20228,2,bad,2023-06-21,CUST5769,PROD113
REV20229,1,average,2023-10-30,CUST1948,PROD105
REV20230,4,good,2025-07-11,CUST3153,PROD113
REV20231,1,bad,2024-05-12,CUST2188,PROD101
REV20232,3,very good,2024-08-28,CUST2162,PROD111
REV20233,2,bad,2024-05-08,CUST3181,PROD106
REV20234,4,good,2025-08-19,CUST1011,PROD104
REV20235,3,bad,2023-12-01,CUST1587,PROD104
REV20236,2,very bad,2022-11-22,CUST3656,PROD102
REV20237,3,good,2023-10-02,CUST1366,PROD104
REV20238,5,very good,2025-06-08,CUST2406,PROD108
REV20239,4,very bad,2024-11-11,CUST2944,PROD113
REV20240,4,bad,2025-07-29,CUST2640,PROD100
REV20241,4,very good,2023-12-05,CUST5457,PROD102
REV20242,2,very bad,2025-04-25,CUST1395,PROD107
REV20243,1,very bad,2025-07-13,CUST5595,PROD101
REV20244,4,very bad,2023-06-03,CUST2500,PROD102
REV20245,2,very bad,2025-01-13,CUST3649,PROD101
REV20246,4,very bad,2023-05-26,CUST4988,PROD105
REV20247,1,good,2022-09-17,CUST5522,PROD107
REV20248,5,very bad,2023-03-25,CUST3766,PROD102
REV20249,5,average,2024-06-18,CUST2332,PROD105
REV20250,4,good,2025-06-07,CUST5409,PROD101
REV20251,3,bad,2023-01-20,CUST1101,PROD100
REV20252,1,very good,2023-02-01,CUST4425,PROD106
REV20253,4,very bad,2024-07-23,CUST4623,PROD110
REV20254,2,very bad,2022-10-27,CUST1872,PROD114
REV20255,2,bad,2023-05-20,CUST3649,PROD114
REV20256,3,bad,2024-12-21,CUST1662,PROD109
REV20257,5,very good,2025-05-12,CUST2020,PROD108
REV20258,5,bad,2025-06-11,CUST1954,PROD104
REV20259,3,good,2024-06-30,CUST3325,PROD101
REV20260,5,very good,2024-04-19,CUST1133,PROD102
REV20261,1,average,2022-10-24,CUST1762,PROD101
REV20262,5,bad,2025-07-12,CUST1518,PROD108
REV20263,5,bad,2025-01-06,CUST4258,PROD111
REV20264,2,bad,2024-12-25,CUST3773,PROD109
REV20265,3,bad,2024-11-07,CUST4410,PROD107
REV20266,4,average,2023-05-13,CUST1103,PROD107
REV20267,1,average,2025-05-13,CUST3327,PROD107
REV20268,5,bad,2024-09-09,CUST2917,PROD106
REV20269,1,very bad,2024-11-04,CUST3174,PROD108
REV20270,3,very bad,2022-09-26,CUST5419,PROD102
REV20271,5,very good,2024-03-28,CUST4068,PROD114
REV20272,3,very good,2023-01-01,CUST3909,PROD100
REV20273,4,very good,2024-01-06,CUST5886,PROD102
REV20274,3,bad,2024-03-01,CUST5198,PROD109
REV20275,1,very bad,2023-03-07,CUST2961,PROD100
REV20276,3,average,2023-04-26,CUST3245,PROD107
REV20277,2,very good,2023-04-24,CUST4040,PROD109
REV20278,1,very good,2024-02-16,CUST1375,PROD103
REV20279,2,average,2023-04-09,CUST4647,PROD114
REV20280,2,very good,2025-03-15,CUST4359,PROD112
REV20281,4,very bad,2024-10-30,CUST5540,PROD103
REV20282,2,bad,2023-02-19,CUST3904,PROD107
REV20283,4,average,2025-05-02,CUST1742,PROD103
REV20284,3,average,2022-10-28,CUST4273,PROD100
REV20285,2,good,2023-01-20,CUST5346,PROD101
REV20286,3,very good,2024-10-23,CUST5324,PROD108
REV20287,1,very good,2025-04-06,CUST2838,PROD108
REV20288,2,average,2023-03-06,CUST1581,PROD111
REV20289,3,very good,2024-10-19,CUST1579,PROD114
REV20290,2,very bad,2024-01-05,CUST3487,PROD111
REV20291,5,average,2024-11-25,CUST5561,PROD104
REV20292,5,very bad,2023-04-16,CUST5616,PROD110
REV20293,4,very bad,2025-06-10,CUST4708,PROD114
REV20294,5,very bad,2025-05-01,CUST5644,PROD114
REV20295,5,average,2022-12-07,CUST2957,PROD112
REV20296,3,very good,2024-09-20,CUST2019,PROD101
REV20297,5,very bad,2023-06-19,CUST5221,PROD105
REV20298,1,good,2023-03-07,CUST4237,PROD103
REV20299,2,average,2024-10-08,CUST3172,PROD113
REV20300,5,very bad,2024-12-16,CUST2321,PROD107
REV20301,2,very bad,2023-01-28,CUST5839,PROD110
REV20302,2,very bad,2024-12-21,CUST2117,PROD111
REV20303,5,bad,2023-01-04,CUST1544,PROD105
REV20304,3,very bad,2023-05-26,CUST3146,PROD106
REV20305,2,bad,2022-12-29,CUST5063,PROD114
REV20306,2,average,2023-01-24,CUST2522,PROD110
REV20307,1,good,2023-08-21,CUST2928,PROD106
REV20308,1,average,2024-03-13,CUST1953,PROD105
REV20309,3,good,2025-02-22,CUST5329,PROD113
REV20310,1,average,2023-09-29,CUST2734,PROD106
REV20311,5,good,2022-12-09,CUST3282,PROD103
REV20312,1,bad,2024-11-26,CUST2894,PROD105
REV20313,4,bad,2023-07-25,CUST3453,PROD104
REV20314,5,very bad,2022-11-17,CUST1359,PROD103
REV20315,2,bad,2023-09-25,CUST2179,PROD102
REV20316,3,average,2023-05-06,CUST5812,PROD114
REV20317,4,bad,2023-10-19,CUST3746,PROD100
REV20318,5,bad,2023-10-14,CUST5966,PROD100
REV20319,2,good,2024-08-31,CUST3175,PROD110
REV20320,5,very good,2025-07-14,CUST1430,PROD109
REV20321,3,good,2023-09-03,CUST1731,PROD113
REV20322,1,very bad,2023-12-29,CUST2874,PROD106
REV20323,3,good,2022-10-07,CUST1224,PROD111
REV20324,4,average,2022-11-22,CUST1180,PROD111
REV20325,5,very good,2022-12-31,CUST1139,PROD113
REV20326,2,average,2024-12-15,CUST2404,PROD110
REV20327,1,very good,2025-05-10,CUST3438,PROD101
REV20328,3,very bad,2022-12-26,CUST2854,PROD111
REV20329,3,average,2023-06-23,CUST1434,PROD110
REV20330,2,average,2023-01-16,CUST1829,PROD100
REV20331,4,average,2023-12-08,CUST5677,PROD111
REV20332,5,good,2023-07-17,CUST1782,PROD100
REV20333,5,bad,2023-03-25,CUST5827,PROD100
REV20334,5,very good,2024-01-02,CUST1318,PROD112
REV20335,2,very good,2024-01-14,CUST1802,PROD108
REV20336,5,very good,2022-12-08,CUST3346,PROD110
REV20337,5,bad,2025-08-12,CUST4417,PROD103
REV20338,2,very good,2023-10-19,CUST4516,PROD100
REV20339,1,very bad,2023-01-27,CUST5739,PROD103
REV20340,1,very good,2024-10-02,CUST2638,PROD106
REV20341,5,very bad,2023-09-29,CUST3037,PROD113
REV20342,4,bad,2024-11-24,CUST5246,PROD101
REV20343,1,very bad,2023-07-06,CUST1008,PROD107
REV20344,5,good,2024-10-01,CUST4854,PROD100
REV20345,1,good,2025-05-15,CUST4085,PROD109
REV20346,2,very good,2024-05-31,CUST4964,PROD103
REV20347,1,very good,2024-06-03,CUST5752,PROD103
REV20348,3,bad,2024-03-12,CUST2923,PROD107
REV20349,3,bad,2025-03-11,CUST1509,PROD112
REV20350,2,very bad,2023-04-07,CUST5722,PROD109
REV20351,3,bad,2023-04-15,CUST4191,PROD111
REV20352,1,bad,2024-06-28,CUST5111,PROD112
REV20353,5,very bad,2023-10-30,CUST1363,PROD112
REV20354,1,good,2025-06-28,CUST5665,PROD112
REV20355,2,good,2024-10-10,CUST5925,PROD110
REV20356,4,good,2024-07-27,CUST4949,PROD103
REV20357,4,bad,2024-06-16,CUST3141,PROD102
REV20358,3,bad,2023-10-31,CUST5435,PROD107
REV20359,2,good,2024-03-18,CUST3978,PROD106
REV20360,2,average,2022-11-24,CUST2181,PROD101
REV20361,3,good,2023-09-09,CUST4101,PROD107
REV20362,5,bad,2023-03-31,CUST1859,PROD108
REV20363,2,very good,2024-05-20,CUST5637,PROD101
REV20364,3,very bad,2022-09-09,CUST1950,PROD114
REV20365,5,good,2025-08-08,CUST4958,PROD102
REV20366,4,bad,2023-08-04,CUST1603,PROD107
REV20367,4,good,2025-08-06,CUST5529,PROD101
REV20368,5,very good,2022-10-06,CUST1183,PROD100
REV20369,4,bad,2023-09-24,CUST3931,PROD104
REV20370,5,good,2023-05-10,CUST2238,PROD104
REV20371,1,average,2023-05-08,CUST2696,PROD102
REV20372,5,very bad,2023-09-15,CUST4530,PROD107
REV20373,1,good,2022-09-03,CUST2419,PROD101
REV20374,4,bad,2022-12-01,CUST2592,PROD109
REV20375,5,very good,2024-05-13,CUST2547,PROD114
REV20376,1,average,2023-09-14,CUST4021,PROD106
REV20377,3,very good,2023-06-10,CUST3733,PROD106
REV20378,3,average,2025-06-19,CUST3098,PROD100
REV20379,5,good,2024-07-11,CUST5183,PROD111
REV20380,2,bad,2025-01-22,CUST5023,PROD101
REV20381,3,very bad,2023-08-04,CUST2257,PROD112
REV20382,1,very bad,2025-04-26,CUST4986,PROD109
REV20383,1,bad,2023-12-09,CUST2361,PROD101
REV20384,4,very bad,2023-09-11,CUST1205,PROD114
REV20385,2,very good,2024-05-19,CUST1388,PROD106
REV20386,1,average,2023-01-07,CUST4534,PROD104
REV20387,2,very bad,2023-04-20,CUST3643,PROD105
REV20388,2,very good,2024-07-25,CUST3031,PROD107
REV20389,2,very bad,2023-11-17,CUST5243,PROD102
REV20390,4,average,2025-06-23,CUST5050,PROD102
REV20391,5,very good,2023-08-06,CUST1064,PROD106
REV20392,5,very bad,2025-04-05,CUST5014,PROD100
REV20393,4,bad,2024-07-01,CUST2633,PROD100
REV20394,5,average,2024-01-11,CUST5678,PROD105
REV20395,1,very bad,2024-05-30,CUST2954,PROD107
REV20396,4,good,2024-05-24,CUST3737,PROD104
REV20397,2,good,2022-12-16,CUST3060,PROD100
REV20398,3,very bad,2025-08-22,CUST3332,PROD104
REV20399,1,good,2022-12-16,CUST2985,PROD108
REV20400,1,good,2024-04-05,CUST1707,PROD100
REV20401,2,bad,2023-01-03,CUST4239,PROD104
REV20402,1,very bad,2024-07-24,CUST2686,PROD108
REV20403,2,good,2024-04-03,CUST3774,PROD112
REV20404,1,bad,2025-04-11,CUST3392,PROD105
REV20405,4,very good,2025-05-07,CUST1541,PROD107
REV20406,4,average,2022-12-08,CUST4678,PROD111
REV20407,2,bad,2023-05-07,CUST2438,PROD110
REV20408,3,good,2023-05-15,CUST2206,PROD104
REV20409,3,average,2024-09-29,CUST1976,PROD114
REV20410,4,very bad,2023-02-11,CUST2742,PROD103
REV20411,1,good,2025-03-28,CUST5251,PROD110
REV20412,5,bad,2023-05-05,CUST1319,PROD113
REV20413,5,good,2024-12-05,CUST5318,PROD103
REV20414,4,good,2023-04-26,CUST5441,PROD103
REV20415,1,very bad,2023-04-01,CUST1637,PROD109
REV20416,3,average,2025-03-26,CUST3096,PROD111
REV20417,1,average,2022-12-14,CUST5619,PROD104
REV20418,2,bad,2023-07-28,CUST3497,PROD102
REV20419,1,good,2025-06-07,CUST1281,PROD107
REV20420,2,very bad,2024-03-16,CUST3502,PROD110
REV20421,2,bad,2024-06-25,CUST4671,PROD106
REV20422,4,average,2025-01-03,CUST1258,PROD101
REV20423,2,very bad,2025-07-01,CUST1204,PROD114
REV20424,5,good,2024-01-26,CUST2988,PROD110
REV20425,2,average,2023-04-15,CUST3225,PROD106
REV20426,5,very good,2023-11-28,CUST4090,PROD107
REV20427,3,good,2025-01-16,CUST5919,PROD107
REV20428,3,average,2023-09-26,CUST3221,PROD101
REV20429,4,bad,2022-08-26,CUST5306,PROD105
REV20430,5,bad,2025-02-03,CUST4192,PROD113
REV20431,4,good,2024-04-13,CUST3839,PROD112
REV20432,1,very good,2023-03-22,CUST2436,PROD108
REV20433,5,very bad,2025-02-22,CUST1857,PROD101
REV20434,5,bad,2022-11-08,CUST3958,PROD106
REV20435,5,bad,2023-02-22,CUST1640,PROD104
REV20436,1,bad,2023-02-20,CUST1302,PROD102
REV20437,5,average,2024-08-08,CUST5366,PROD103
REV20438,4,bad,2025-03-04,CUST3808,PROD104
REV20439,5,good,2023-02-23,CUST5610,PROD112
REV20440,5,good,2025-03-17,CUST1875,PROD112
REV20441,1,very bad,2023-01-09,CUST5811,PROD101
REV20442,1,good,2022-08-27,CUST1939,PROD105
REV20443,1,good,2023-09-06,CUST1083,PROD108
REV20444,3,average,2023-07-11,CUST5627,PROD100
REV20445,4,very good,2024-08-06,CUST2216,PROD109
REV20446,4,bad,2024-08-01,CUST4396,PROD108
REV20447,1,average,2025-05-24,CUST2220,PROD103
REV20448,1,average,2023-12-28,CUST2713,PROD110
REV20449,1,bad,2023-02-15,CUST4346,PROD110
REV20450,2,average,2023-12-18,CUST4118,PROD114
REV20451,3,bad,2023-08-15,CUST5325,PROD100
REV20452,4,average,2023-05-29,CUST5462,PROD101
REV20453,3,very good,2023-12-30,CUST4364,PROD102
REV20454,2,very good,2023-10-04,CUST1389,PROD110
REV20455,2,very good,2023-11-20,CUST3346,PROD113
REV20456,4,very bad,2025-08-16,CUST1029,PROD109
REV20457,4,average,2024-09-02,CUST4080,PROD107
REV20458,4,good,2024-07-23,CUST4995,PROD102
REV20459,2,very bad,2023-12-23,CUST1350,PROD114
REV20460,4,very bad,2022-09-28,CUST5182,PROD100
REV20461,3,very bad,2023-01-01,CUST1917,PROD100
REV20462,1,very good,2024-05-23,CUST4543,PROD114
REV20463,1,average,2023-04-01,CUST3612,PROD108
REV20464,2,very bad,2023-07-01,CUST3254,PROD109
REV20465,2,good,2025-03-12,CUST1111,PROD104
REV20466,5,very good,2023-11-06,CUST5028,PROD108
REV20467,4,very bad,2023-04-05,CUST4624,PROD102
REV20468,4,very good,2025-03-04,CUST1129,PROD106
REV20469,1,very bad,2024-06-09,CUST3819,PROD111
REV20470,2,bad,2025-03-18,CUST1320,PROD112
REV20471,3,bad,2025-01-20,CUST5048,PROD103
REV20472,3,good,2024-09-27,CUST4573,PROD106
REV20473,4,average,2025-02-11,CUST1275,PROD110
REV20474,2,good,2024-02-25,CUST1178,PROD107
REV20475,4,good,2025-04-11,CUST2576,PROD112
REV20476,4,average,2023-11-01,CUST5203,PROD101
REV20477,5,bad,2023-11-01,CUST4408,PROD113
REV20478,3,very good,2023-01-23,CUST5597,PROD104
REV20479,5,bad,2024-02-21,CUST3832,PROD111
REV20480,2,very good,2025-08-05,CUST4407,PROD114
REV20481,4,very bad,2023-02-07,CUST3790,PROD106
REV20482,3,very bad,2023-01-03,CUST3995,PROD108
REV20483,5,very good,2023-03-20,CUST3692,PROD108
REV20484,2,average,2024-11-08,CUST2626,PROD102
REV20485,3,good,2022-12-10,CUST2201,PROD112
REV20486,1,good,2023-11-07,CUST1182,PROD109
REV20487,2,very bad,2024-07-30,CUST1168,PROD110
REV20488,4,good,2023-04-04,CUST4686,PROD113
REV20489,3,bad,2024-03-15,CUST4145,PROD102
REV20490,5,good,2022-09-06,CUST2679,PROD107
REV20491,2,very good,2024-03-05,CUST2683,PROD109
REV20492,2,very bad,2024-03-20,CUST4112,PROD107
REV20493,5,bad,2023-01-08,CUST1241,PROD109
REV20494,5,good,2024-04-15,CUST4208,PROD103
REV20495,4,bad,2025-04-15,CUST1283,PROD114
REV20496,5,very good,2025-03-11,CUST4981,PROD101
REV20497,1,good,2023-09-05,CUST3974,PROD111
REV20498,5,bad,2023-01-25,CUST5518,PROD113
REV20499,5,very bad,2024-03-22,CUST5274,PROD113
REV20500,2,bad,2024-10-21,CUST4009,PROD110
